onset	duration	trial_type1	trial_type2	stimulus	cue_onset	response_time	correct_response
0.15311507	0	word	concrete	hamburger	1.7619828	0.5880065	1
9.01965217	0	word	abstract	precedent	10.5520934	0.4905052	1
15.00335517	0	nonword	abstract	utiricy	16.7362809	0.4374393	1
23.98578617	0	word	abstract	revenge	25.7505336	0.9360703	1
33.00327107	0	word	concrete	forceps	34.8840492	0.7326638	1
42.13679007	0	word	concrete	bayonet	43.6839271	0.8736835	0
48.13665397	0	nonword	abstract	vulginiry	49.8838474	0.7988657	1
54.35301797	0	word	concrete	postcard	56.050961	0.7420103	1
65.60297257	0	word	abstract	fantasy	67.236162	1.3650604	1
71.68625267	0	nonword	concrete	comgoor	73.3010708	1.4098218	1
82.85319057	0	nonword	abstract	frigiliny	84.517273	n/a	0
91.77016177	0	word	abstract	injustice	93.483002	0.785885	1
103.0352464	0	word	concrete	sergeant	104.7194061	0.9662409	1
106.8867184	0	word	abstract	oblivion	108.4832498	0.5875516	1
110.6527388	0	nonword	concrete	rodose	112.2828896	n/a	0
114.4369545	0	word	concrete	sculpture	115.9700448	0.6538967	1
123.2346058	0	nonword	concrete	wearabro	124.9197153	0.574158	1
132.1831644	0	nonword	abstract	eciropy	133.8345732	n/a	0
143.4008385	0	word	concrete	warship	145.0356318	0.5312578	1
149.5021572	0	nonword	concrete	corropor	151.151175	0.6909801	1
155.6187845	0	nonword	concrete	bofcoit	157.2698891	0.6247062	1
159.4197414	0	nonword	abstract	equaniry	161.0512125	0.7247652	1
165.5186279	0	word	concrete	coastline	167.1527769	0.6220191	1
176.719037	0	nonword	concrete	vorduct	178.4514077	1.7679171	1
185.8359484	0	nonword	concrete	portabro	187.519649	1.2643934	1
194.8036113	0	nonword	abstract	animitive	196.6676406	0.6540451	1
198.8334402	0	word	concrete	scalpel	200.4011096	n/a	0
204.8669463	0	nonword	concrete	practocan	206.4180038	0.7425369	1
213.6867698	0	nonword	concrete	troitor	215.2032695	0.6761552	1
224.7532769	0	nonword	abstract	infiritide	226.6165801	n/a	0
233.8866734	0	word	concrete	passport	235.4528796	1.8529722	0
245.2367894	0	nonword	concrete	scrautchen	246.9836456	0.8178734	1
