onset	duration	trial_type1	trial_type2	stimulus	cue_onset	response_time	correct_response
0.14902649	0	nonword	abstract	incritilate	2.0664686	0.5455659	1
9.31638559	0	word	concrete	fortress	11.0141433	1.0590876	0
13.18005059	0	nonword	abstract	receoviple	15.0126422	0.4290181	1
22.26630219	0	nonword	abstract	expanitive	24.2311607	0.4721408	1
33.79942439	0	word	concrete	cartridge	35.4828068	0.4210442	1
45.03313849	0	nonword	abstract	rigilicy	46.6827937	0.4428421	1
51.13333089	0	nonword	abstract	erripeous	52.8165123	0.5098508	1
60.06637949	0	nonword	concrete	wearabro	61.7646352	0.4192191	1
63.91628819	0	word	concrete	postcard	65.6475674	0.4439331	1
67.79983299	0	nonword	concrete	vorced	69.4814613	0.4429101	1
73.95144119	0	nonword	abstract	deslicative	75.99747	0.4662302	0
80.44972959	0	nonword	concrete	magbouse	82.2832209	0.5733035	1
86.73283059	0	word	abstract	oblivion	88.314546	0.5004453	0
97.88266959	0	word	abstract	experience	99.9000663	0.4004833	1
104.3495199	0	nonword	concrete	charoit	105.9800901	0.5152634	1
113.2329152	0	word	concrete	scorpion	114.966086	0.4542539	0
122.2162929	0	word	abstract	adversity	123.9805692	1.2594306	1
133.5327202	0	word	abstract	integrity	135.2979638	0.4609567	1
144.8494525	0	nonword	concrete	proschoot	146.5482394	0.4140169	1
156.0996161	0	nonword	concrete	radegourse	157.9496881	0.4807271	1
160.0997722	0	word	concrete	photograph	161.8809024	0.4612869	1
171.4328159	0	nonword	abstract	indispry	173.0490546	0.4936211	1
180.2994584	0	nonword	concrete	porcopane	181.9806203	0.4978139	1
186.4329863	0	nonword	concrete	waperlane	188.1311038	0.6147264	1
190.2826903	0	word	abstract	belief	191.7972562	0.4134625	1
201.3499231	0	nonword	abstract	vulginiry	203.0965568	0.4889121	1
212.6499079	0	word	abstract	morality	214.3001187	0.4555707	1
216.4657808	0	nonword	concrete	turtore	218.0999171	0.7250927	1
227.6497388	0	nonword	abstract	imsessably	229.4642538	0.4931416	1
239.0332062	0	nonword	abstract	assinilaze	240.8651702	0.4751726	1
243.0318764	0	word	abstract	possibility	244.7313716	0.4862713	1
251.9835658	0	word	concrete	scalpel	253.5655218	0.600419	1
255.7162762	0	nonword	abstract	impinling	257.498036	0.4298982	0
264.7496172	0	nonword	abstract	frasinidy	266.4302017	0.5532626	1
