onset	duration	trial_type1	trial_type2	stimulus	cue_onset	response_time	correct_response
0.151162009999894	0	nonword	abstract	afranily	1.74736679999999	0.680653399999982	1
6.20531491	0	nonword	abstract	intidinaze	8.1186823999999	0.718919400000004	1
17.67154401	0	nonword	concrete	persocate	19.3689138	0.870634099999961	1
23.821907209999	0	word	concrete	teaspoon	25.438150299999	1.82542669999975	0
32.888462409999	0	nonword	concrete	corropor	34.521480299999	1.46262169999999	1
36.671698309999	0	nonword	abstract	viciridy	38.3354978	0.561090099999773	1
47.887440209999	0	nonword	concrete	woistcort	49.671213699999	1.71375659999989	1
59.321489809999	0	word	concrete	crossbow	60.8858048	0.716015100000049	1
63.038404309999	0	nonword	concrete	broish	64.5687837	0.840155999999979	1
71.82162151	0	word	abstract	integrity	73.588422099999	0.579248300000017	1
75.73820141	0	word	abstract	legacy	77.3042315	0.43539389999978	1
81.755122409999	0	nonword	abstract	indisatize	83.8514857	1.07899179999981	1
88.30485471	0	nonword	concrete	godgeboom	89.904941699999	0.696446299999934	1
92.05535251	0	nonword	abstract	equaniry	93.654927	0.539480399999774	1
103.20521391	0	word	abstract	tradition	104.671554099999	0.467644099999915	1
106.821466409999	0	nonword	abstract	indispry	108.437753299999	0.554868399999804	0
112.88852061	0	word	concrete	lantern	114.4194447	0.629144700000097	1
118.87155971	0	word	abstract	extent	120.4692636	0.663798999999926	1
127.721574609999	0	nonword	concrete	strangolape	129.521520999999	0.685522499999933	0
133.97148961	0	nonword	concrete	turtore	135.602567299999	0.967075199999953	0
140.055232509999	0	word	abstract	symbolism	141.785341	0.540817399999923	1
143.938254609999	0	word	abstract	revenge	145.7018108	0.879981199999974	0
147.855206009999	0	word	concrete	spokesman	149.5712744	0.5436823	1
156.82147821	0	nonword	abstract	intirgiment	158.7548213	0.5101259999999	1
168.32153191	0	word	concrete	warship	169.9692106	1.41989830000011	1
174.421559009999	0	nonword	abstract	illegolimy	176.1377341	0.712439899999935	1
185.68818941	0	word	concrete	morphine	187.2355542	0.754553600000008	1
196.80505901	0	word	abstract	solidarity	198.6507196	0.653565499999786	1
200.80515391	0	nonword	concrete	portabro	202.454563099999	0.515574999999898	1
206.921352109999	0	nonword	concrete	bofcoit	208.5680964	0.670642699999916	1
215.82124871	0	word	abstract	imagination	217.7854737	1.37726509999993	1
219.93829031	0	word	abstract	optimism	221.6857072	0.619864499999948	1
231.23831591	0	nonword	abstract	insarily	232.969928999999	0.652839099999937	1
242.52161671	0	nonword	concrete	tangorle	244.121328	0.745083900000054	1
248.57149141	0	word	abstract	indulgence	250.635673399999	0.836945999999898	1
257.88777251	0	word	abstract	realism	259.5714217	0.609899899999845	1
269.12157411	0	word	abstract	equality	270.7884414	0.688415799999802	1
272.93941361	0	nonword	concrete	rodose	274.5856461	0.541743199999928	1
281.83817351	0	nonword	abstract	deslicative	283.8882503	0.591088099999751	1
291.15524541	0	word	concrete	scalpel	292.7377462	0.741116099999999	1
299.98754231	0	word	abstract	indecision	301.617610399999	0.682363899999927	1
308.87129331	0	word	abstract	belief	310.402291899999	0.703026299999919	1
317.66811511	0	nonword	concrete	porcopane	319.3373661	0.938537299999779	1
321.50344701	0	word	concrete	tapeworm	323.0034754	0.629120499999771	1
332.55468031	0	word	concrete	platform	334.2548199	0.64339219999988	1
341.50505841	0	word	abstract	existence	343.268350099999	0.799686999999949	1
345.43558881	0	nonword	concrete	practocan	346.986526299999	0.572569299999941	1
354.23802541	0	word	concrete	sandpaper	355.988079799999	0.458482399999866	1
365.53796711	0	nonword	abstract	dispeditive	367.4517191	0.860787999999956	1
369.60482001	0	word	abstract	euphoria	371.2379434	0.611781299999847	1
375.68806551	0	nonword	concrete	vacoim	377.254614499999	0.635559900000089	1
379.40480621	0	nonword	abstract	dissilative	381.3056532	0.537632199999961	1
388.554929309999	0	nonword	concrete	procunct	390.3014172	0.682861900000034	0
399.85496511	0	word	concrete	skateboard	401.6851101	0.856036699999776	1
408.93779091	0	nonword	concrete	magbouse	410.771025	0.54503580000005	1
415.221498909999	0	nonword	abstract	occiputive	417.135758899999	0.77129519999994	1
419.287625809999	0	word	concrete	scorpion	421.004342	0.648945299999923	1
428.25463951	0	word	concrete	petticoat	429.9278133	0.714305499999909	1
437.15415001	0	nonword	concrete	scurecraw	439.087773399999	0.780900800000154	1
446.35484651	0	word	abstract	oblivion	447.967972799999	0.547601500000155	1
