onset	duration	trial_type1	trial_type2	stimulus	cue_onset	response_time	correct_response
0.158289590000201	0	nonword	abstract	equaniry	1.7743553000002	0.868020599999908	1
9.0239233900003	0	word	concrete	capsule	10.6240912	0.998255900000003	0
12.7744870900002	0	nonword	concrete	scurecraw	14.7075460000003	0.51066609999998	1
19.1574406900001	0	nonword	concrete	purtroit	20.8555314000002	0.970667699999921	1
28.1080382900001	0	nonword	abstract	eciropy	29.7712401000001	0.591853399999763	1
39.3229867900001	0	word	concrete	photograph	41.0897652	0.435818299999937	1
43.2412164900003	0	nonword	concrete	strangolape	45.0406872	0.432460999999875	0
49.49124509	0	nonword	concrete	vortae	51.0740892	0.640277800000149	1
60.62432399	0	word	abstract	theory	62.1742652	0.720485799999551	0
66.624181589999	0	nonword	concrete	vorced	68.304636099999	0.577294100000017	0
72.75792069	0	nonword	concrete	borpen	74.1910208	0.612879599999814	1
78.64041159	0	word	concrete	dandruff	80.2574642	0.521114899999702	1
87.50807569	0	nonword	abstract	nofilicy	89.188106199999	0.595341499999904	1
93.64104489	0	word	concrete	scalpel	95.221882399999	0.473134500000014	1
102.47389339	0	word	concrete	parasite	104.1575887	0.541019799999503	1
111.407810289999	0	word	concrete	shoemaker	113.057649399999	0.560794399999849	0
122.60828459	0	nonword	abstract	execative	124.5416195	0.45572039999979	1
126.691273489999	0	word	concrete	crossbow	128.2574053	0.505365699999856	1
130.40818429	0	word	abstract	imposition	132.107819099999	0.279166299999815	1
134.25798599	0	nonword	concrete	compotarce	136.0385677	0.475792999999612	1
140.49165799	0	nonword	concrete	woimed	142.0221757	0.818721199999799	1
146.48931429	0	word	concrete	grindstone	148.2723013	0.460011900000154	1
152.72417379	0	nonword	abstract	divisiny	154.255592	0.480264599999827	1
161.50793769	0	nonword	concrete	wearabro	163.2078815	0.511926499999845	1
165.35843139	0	word	concrete	sculpture	166.9055423	0.460942300000169	1
176.45796669	0	nonword	concrete	troitor	178.004589599999	0.481873299999733	1
180.15713629	0	nonword	abstract	occiputive	182.0720348	0.561048699999901	1
189.32493749	0	word	concrete	spokesman	191.0581451	0.362697099999877	1
200.608024289999	0	word	concrete	fortress	202.2883327	0.513378900000134	0
211.84162039	0	word	concrete	stateroom	213.488542199999	0.510197799999787	0
220.74189219	0	nonword	abstract	assinilaze	222.555159	0.971602099999927	0
224.70857019	0	word	abstract	legacy	226.2717978	0.554595600000084	0
228.425032589999	0	word	concrete	coastline	230.0717165	0.456608499999674	0
232.22597469	0	word	abstract	indecision	233.8579571	0.396025000000008	1
236.02174529	0	nonword	concrete	rodose	237.6581093	n/a	0
242.10845149	0	word	abstract	aggravation	243.8910811	0.435954899999615	1
248.34143659	0	word	concrete	scorpion	250.0749293	0.403677999999672	1
259.62509089	0	word	concrete	pillbox	261.391379599999	0.473240700000133	0
263.54154869	0	nonword	concrete	comprohind	265.3580828	0.516915600000174	1
267.50848009	0	word	abstract	priority	269.171691199999	0.488507399999434	1
278.72518849	0	word	abstract	revenge	280.4911597	0.440640299999813	1
284.941801189999	0	word	concrete	sandpaper	286.6889023	0.473225700000057	0
296.24136039	0	nonword	abstract	receoviple	298.0750373	0.675328400000125	1
307.62618539	0	word	concrete	satellite	309.4409812	0.413212699999803	1
311.591863889999	0	word	abstract	integration	313.4082029	0.579767300000185	1
320.65834759	0	word	concrete	gunpowder	322.3057375	0.398448400000233	1
326.75843129	0	nonword	abstract	illegolimy	328.474699999999	0.450056299999687	1
330.62500119	0	word	concrete	cartridge	332.341724399999	0.351209800000106	1
341.89135529	0	word	concrete	vault	343.3416604	0.494648699999743	1
350.59181649	0	word	abstract	ideology	352.3417853	0.53880239999944	1
356.79168459	0	nonword	concrete	comgoor	358.422303699999	0.521761699999842	1
367.97477339	0	word	concrete	skateboard	369.7910689	0.47234249999974	0
379.34158879	0	word	abstract	imagination	381.308303	0.414204999999583	1
385.75847749	0	nonword	abstract	actiliry	387.355569099999	0.461731499999586	1
396.90888529	0	word	abstract	precedent	398.457775999999	0.490417400000296	0
405.708698489999	0	word	concrete	campus	407.2716917	0.561099999999896	1
416.82437689	0	nonword	abstract	erripeous	418.507972699999	0.511598499999763	1
422.95775499	0	nonword	abstract	imsessably	424.771879	0.430460799999764	0
432.04024979	0	word	abstract	experience	434.0584817	0.470908399999643	1
438.50792379	0	word	concrete	bartender	440.1910685	0.467662399999881	1
444.64216859	0	nonword	concrete	controbate	446.3558524	0.587403300000005	1
450.808385389999	0	nonword	concrete	procunct	452.5389331	0.520638099999814	1
454.69063229	0	nonword	abstract	respirlinle	456.4744001	0.735846900000069	1
458.62498759	0	word	concrete	lantern	460.1561159	0.507794499999818	0
464.62535109	0	word	abstract	affirmative	466.5227789	0.47289339999952	0
470.97499779	0	word	abstract	belief	472.4909296	0.406868699999449	1
479.74185619	0	nonword	concrete	paspock	481.306497	0.507883199999923	1
490.85860959	0	nonword	abstract	vulginiry	492.6084781	0.539911200000005	1
494.75873049	0	nonword	abstract	intidinaze	496.6728301	0.594758300000194	1
501.12543709	0	word	abstract	realism	502.789928299999	0.395378199999868	1
510.05621419	0	nonword	concrete	practocan	511.608093399999	0.713125199999922	1
513.75819429	0	nonword	abstract	incimudy	515.4395197	0.591563200000109	1
517.59115109	0	word	abstract	existence	519.3724261	0.564863500000228	1
528.92514339	0	nonword	abstract	inmilary	530.5562498	0.855339899999762	1
532.70811979	0	word	concrete	platform	534.4063452	0.833557599999494	0
541.67452899	0	nonword	abstract	utiricy	543.4243388	0.6338082999996	1
550.67377559	0	word	concrete	forceps	552.5561199	0.519493799999963	0
557.00814749	0	word	abstract	extent	558.6060948	0.464659599999777	1
565.85904799	0	word	abstract	fantasy	567.5057162	0.445990499999879	1
569.65818049	0	nonword	concrete	verbetrate	571.55593	0.674561400000129	1
581.10869889	0	nonword	abstract	dispeditive	583.0057742	0.429656899999827	1
590.25911429	0	word	concrete	rhubarb	591.891738	0.401872099999764	1
599.14215739	0	nonword	abstract	indisatize	601.225361	0.717075200000181	1
608.47541119	0	nonword	concrete	pawten	609.9757966	0.458338100000219	0
617.22578439	0	word	concrete	frostbite	619.0076943	0.407966999999644	1
621.15877759	0	nonword	concrete	proschoot	622.8589763	0.39211460000024	1
630.10878019	0	nonword	abstract	incritilate	632.023699699999	0.463332899999841	1
641.57563419	0	word	concrete	saxophone	643.3081075	0.455113200000141	1
650.55911329	0	word	concrete	warship	652.2063409	0.423889799999869	1
659.45888819	0	nonword	concrete	magbouse	661.2899182	0.464665999999851	1
668.54254129	0	word	abstract	intention	670.2894584	0.45892939999976	1
674.74233409	0	nonword	abstract	frigiliny	676.3753589	0.305773399999907	1
680.84273769	0	word	abstract	ability	682.356504399999	0.4624546	1
684.50952869	0	word	concrete	passport	686.0731372	0.415108699999564	1
688.22618469	0	nonword	abstract	dissilative	690.1744443	0.54732869999998	1
699.72601829	0	word	abstract	curiosity	701.541956	0.341263699999672	1
711.09185909	0	word	abstract	integrity	712.8557783	0.445690800000193	1
722.40934979	0	nonword	concrete	paronaid	724.0227759	0.657046499999523	1
733.57555049	0	nonword	abstract	intirgiment	735.4898097	0.520864699999947	1
745.05931959	0	word	concrete	postcard	746.758802999999	0.476486500000191	1
