onset	duration	trial_type1	trial_type2	stimulus	cue_onset	response_time	correct_response
0.153868579999994	0	word	abstract	methodology	1.93730959999999	n/a	0
11.487529579999	0	nonword	concrete	bofcoit	13.1373217	1.44713109999975	1
20.387329679999	0	word	abstract	coincidence	22.317648699999	1.02587289999974	1
24.466827679999	0	word	abstract	ambition	26.1034612	n/a	0
28.253760279999	0	nonword	concrete	permonaride	30.1344936	1.30844859999979	1
37.38718628	0	word	concrete	morphine	38.9344271	n/a	0
46.203448379999	0	word	abstract	existence	47.984148799999	0.823192699999708	1
55.237315479999	0	nonword	concrete	turtore	56.867760499999	1.30710249999992	1
61.320566379999	0	nonword	abstract	esimicate	63.1199785	0.595901699999558	0
67.57060648	0	word	concrete	shoemaker	69.218269099999	n/a	0
76.47071078	0	nonword	concrete	comprohind	78.286934699999	1.01787209999974	1
87.83709778	0	word	abstract	oblivion	89.453895599999	0.59149699999989	1
91.603580479999	0	nonword	concrete	charocper	93.2176986	0.717463299999963	0
95.37086628	0	word	concrete	satellite	97.1872301	1.81164039999976	1
104.62073538	0	nonword	concrete	controbate	106.3510695	1.61393640000005	1
113.604119979999	0	nonword	abstract	execative	115.5508136	1.02556569999978	1
120.00391958	0	word	concrete	campus	121.583269599999	1.03268619999971	1
126.05359038	0	word	concrete	bartender	127.734467099999	0.709465699999782	1
137.28663748	0	nonword	abstract	utiricy	139.017847299999	1.20848119999982	1
143.470585479999	0	nonword	abstract	expanitive	145.436728299999	1.0086239000002	1
149.886939579999	0	nonword	concrete	paspock	151.4536116	1.27995680000003	1
158.72079678	0	word	concrete	stopwatch	160.584659199999	1.24185369999986	1
167.83698878	0	nonword	abstract	imsessably	169.653726799999	n/a	0
179.203666179999	0	nonword	abstract	occiputive	181.1202636	0.734088700000029	1
188.387210779999	0	nonword	abstract	impinling	190.167367199999	1.7048522	1
194.71885848	0	word	concrete	capsule	196.317970299999	0.590798100000029	1
203.57078078	0	word	abstract	legacy	205.136484299999	1.18709979999994	0
214.686831579999	0	nonword	concrete	strangolape	216.486220399999	1.46468879999974	1
220.93726788	0	word	abstract	expertise	222.820353199999	0.630833799999891	1
224.970525979999	0	word	concrete	dandruff	226.5843013	1.10369939999964	1
228.73740718	0	nonword	concrete	scrautchen	230.4701246	1.35355380000009	1
240.034412779999	0	nonword	concrete	charoit	241.669865099999	1.79082419999986	1
246.288367679999	0	nonword	abstract	illegital	247.9346354	n/a	0
257.48710768	0	word	concrete	passport	259.0678632	1.41991119999966	1
261.22042908	0	nonword	concrete	tangorle	262.833030999999	0.672813299999688	0
270.08720498	0	word	abstract	implication	271.953748999999	0.63834799999995	1
