onset	duration	trial_type1	trial_type2	stimulus	cue_onset	response_time	correct_response
0.14930711	0	word	abstract	symbolism	1.8662629	1.0883965	1
11.41643821	0	word	concrete	passport	13.0136318	1.0628384	1
22.56626391	0	word	abstract	equality	24.2301331	0.998413	1
31.48290081	0	nonword	abstract	inciponle	33.2464921	0.8742048	1
42.79940671	0	word	abstract	methodology	44.5992152	0.9805615	1
54.14922691	0	word	concrete	postcard	55.8657886	1.033938	1
63.13243081	0	word	abstract	aggravation	64.9137918	0.8004011	1
67.06683181	0	nonword	abstract	immociary	68.8141372	0.9516457	1
76.06611921	0	word	concrete	capsule	77.6489962	0.8121725	1
79.79964561	0	word	concrete	shoemaker	81.4488912	0.4448149	1
88.69975241	0	nonword	abstract	rigilicy	90.349278	0.4812794	0
94.79954351	0	word	concrete	satellite	96.6320284	0.7096892	1
101.083014	0	word	concrete	bayonet	102.6473215	0.8515304	1
107.0995216	0	nonword	abstract	synpitative	109.0962712	1.1581322	1
116.3494896	0	nonword	abstract	animitive	118.2325981	0.6711871	1
127.7831077	0	word	concrete	bartender	129.4639563	0.4571212	1
131.6154799	0	word	abstract	mortality	133.3827348	0.4637954	1
142.9327354	0	word	concrete	caravan	144.530204	0.6468466	1
148.9825692	0	nonword	concrete	pawten	150.4808237	0.7242555	0
154.9327368	0	word	concrete	sculpture	156.4803891	0.6782967	0
160.9328683	0	nonword	abstract	visinative	162.7470923	0.7381635	1
167.1991766	0	nonword	concrete	waperlane	168.8972565	0.7438936	1
171.0493019	0	nonword	abstract	indisatize	173.0970704	0.7383531	1
180.3492748	0	word	concrete	forceps	182.2302664	1.1017131	1
184.3828833	0	nonword	abstract	impinling	186.1803977	1.0896014	1
193.4328381	0	word	abstract	fantasy	195.0797049	0.5952712	1
204.6328936	0	word	abstract	morality	206.2813896	0.6410086	1
213.5330626	0	nonword	concrete	woistcort	215.3322869	0.5890133	1
222.5827504	0	nonword	abstract	assinilaze	224.4157823	0.8295832	0
233.9658048	0	nonword	abstract	incimudy	235.6471578	0.7668987	1
240.0992605	0	word	abstract	existence	241.8800193	0.9040382	1
246.3331263	0	nonword	concrete	tarnoat	247.9298369	0.9846716	1
250.0831137	0	nonword	abstract	afranily	251.682272	0.7522823	1
261.2328422	0	nonword	abstract	respirlinle	262.9996197	0.8568295	1
272.5495454	0	word	abstract	ambition	274.1803651	0.7205438	1
281.4326191	0	word	concrete	cartridge	283.1162588	0.6745777	1
292.666002	0	word	abstract	affirmative	294.565857	0.3378571	1
296.7163214	0	nonword	concrete	godgeboom	298.3136581	0.7036016	1
302.7662424	0	nonword	abstract	incritilate	304.6825556	0.5603136	1
311.933331	0	word	concrete	scalpel	313.5153572	0.6906686	1
320.7665027	0	nonword	concrete	turtore	322.3987844	0.9808134	1
324.5491456	0	nonword	abstract	obdisative	326.4641395	0.7090674	1
336.0305912	0	word	concrete	morphine	337.5831082	0.4847658	1
342.0489832	0	word	abstract	legacy	343.6136592	0.9127973	1
353.1661957	0	nonword	abstract	erripeous	354.8472308	0.6233485	1
364.3995367	0	nonword	concrete	proschoot	366.0995033	0.9636241	1
373.3495637	0	nonword	abstract	ofriliase	375.2133169	1.0834749	1
384.7659574	0	word	concrete	parasite	386.4463575	0.8446238	1
388.599195	0	nonword	abstract	intoirive	390.3467631	1.2471951	1
399.8993032	0	word	abstract	moderation	401.6633577	0.4357917	1
408.9162982	0	word	abstract	precedent	410.4632072	0.6750899	1
412.6158162	0	nonword	concrete	vortae	414.1824157	0.4455171	1
423.7486469	0	word	abstract	possibility	425.4488891	0.872343	1
429.899406	0	nonword	abstract	intirgiment	431.832231	0.4254922	1
433.9831586	0	word	concrete	scorpion	435.7560482	0.5976156	1
445.2828479	0	word	abstract	formality	446.9634226	0.7436212	1
454.2162993	0	nonword	concrete	troitor	455.7631389	n/a	0
457.9158405	0	word	concrete	platform	459.6153072	0.7475916	0
466.8659797	0	word	abstract	alienation	468.6490745	0.6761235	1
470.7978156	0	nonword	concrete	crauben	472.3661199	0.6913176	1
476.8163422	0	word	abstract	integrity	478.59901	0.7823472	1
488.1490554	0	word	abstract	curiosity	489.9655317	0.9827847	1
494.4161847	0	nonword	concrete	practocan	495.9804125	1.7231452	0
500.5327336	0	nonword	abstract	illasive	502.2808388	0.9884984	1
504.4328301	0	nonword	concrete	vacoim	505.9991402	0.6801411	1
508.1493511	0	word	concrete	hamburger	509.7465336	0.7758256	1
