onset	duration	trial_type1	trial_type2	stimulus	cue_onset	response_time	correct_response
0.15741061	0	word	concrete	pillbox	1.9331569	1.4191035	1
11.49110911	0	nonword	abstract	actiliry	13.1212765	0.6622361	1
20.37418821	0	word	abstract	tradition	21.8379402	0.5440176	1
26.30795291	0	nonword	concrete	vacoim	27.8715999	0.4830604	1
30.03980381	0	word	concrete	telescope	31.6751192	1.1394344	1
36.14112941	0	nonword	concrete	soits	37.7404704	0.5909815	0
39.88942611	0	word	abstract	fantasy	41.5414457	0.5494755	1
46.00733731	0	nonword	abstract	illasive	47.755251	0.6956489	1
52.20775021	0	nonword	concrete	pawten	53.7047658	0.4823267	1
58.15778731	0	nonword	abstract	infiritide	60.0215461	0.6282339	1
69.57591341	0	word	concrete	skateboard	71.4076402	n/a	0
75.85941611	0	nonword	concrete	charocper	77.4581088	0.5194687	1
84.70763761	0	nonword	abstract	dispeditive	86.6076831	0.4755235	1
88.75788281	0	nonword	concrete	vorduct	90.4741371	1.6129601	0
94.92453941	0	word	abstract	similarity	96.7051814	0.586529	1
98.85719791	0	nonword	abstract	execative	100.7894272	1.7756802	0
103.0912558	0	nonword	concrete	persocate	104.8073629	0.4505409	1
112.0580068	0	word	concrete	sportsman	113.7724403	0.6735851	1
121.0398915	0	nonword	abstract	etrinady	122.673883	0.4916139	1
127.1247607	0	nonword	abstract	viciridy	128.7880061	0.65122	1
138.3410946	0	nonword	abstract	ofriliase	140.2056112	0.6295386	0
144.6587124	0	word	concrete	scalpel	146.2405565	0.5263914	1
155.7915178	0	word	abstract	aggravation	157.5900328	0.6584234	1
159.74116	0	nonword	concrete	woimed	161.2888345	0.8936842	0
163.4414918	0	word	concrete	grindstone	165.2385131	0.4641931	1
167.3913863	0	nonword	abstract	synpitative	169.3558942	0.5718981	1
176.60791	0	nonword	abstract	nofilicy	178.2742026	0.6551353	1
180.4246349	0	word	abstract	euphoria	182.0573846	0.5218437	1
189.3076312	0	word	concrete	scorpion	191.0404181	0.8079704	1
200.5918498	0	nonword	concrete	vorced	202.271872	1.1121305	1
209.5242115	0	nonword	concrete	comgoor	211.1574433	0.4743755	1
215.6078731	0	word	abstract	revenge	217.3742771	0.5898205	1
219.5250429	0	nonword	concrete	troitor	221.0722136	0.8307235	0
225.5246739	0	nonword	concrete	controbate	227.2384387	0.6193066	1
234.4916526	0	nonword	abstract	esimicate	236.3219203	0.455387	0
245.8753323	0	word	concrete	dandruff	247.4911812	0.5122228	1
257.0411701	0	nonword	concrete	wearabro	258.7205717	0.549835	1
260.8749816	0	nonword	abstract	assinilaze	262.7077648	1.2351768	1
