onset	duration	trial_type1	trial_type2	stimulus	cue_onset	response_time	correct_response
0.160362479999904	0	word	abstract	fixation	1.9438641	0.535574900000256	1
11.49368468	0	nonword	concrete	vorced	13.173859999999	0.746496299999989	1
17.62701818	0	word	abstract	ambition	19.2575149	0.774879999999939	1
28.810071679999	0	word	concrete	skateboard	30.6411053	1.0177665000001	1
32.792989479999	0	nonword	abstract	equaniry	34.4102833	0.746650200000203	1
38.874046579999	0	word	abstract	ideology	40.5930976	0.645771500000137	1
47.84374808	0	nonword	concrete	honoydaw	49.4935233	0.750066399999923	1
51.643584279999	0	word	abstract	experience	53.676842599999	0.574930400000084	1
60.92650268	0	nonword	concrete	paspock	62.5105104	0.904394300000149	1
72.060184079999	0	nonword	abstract	afranily	73.640856899999	0.75411310000004	1
83.208556779999	0	nonword	abstract	illegolimy	84.8936557	0.594010900000057	1
94.44352608	0	word	concrete	parasite	96.1245178	1.02809730000012	1
105.676845379999	0	nonword	abstract	imfertenal	107.4415379	0.933660000000145	1
111.893551979999	0	word	concrete	student	113.526220699999	1.22715430000016	1
117.976817579999	0	nonword	abstract	incimudy	119.6411726	0.856948399999964	1
121.793535179999	0	word	abstract	optimism	123.541311399999	0.682400899999947	1
128.00952548	0	nonword	abstract	impinling	129.793474899999	0.601741400000037	1
131.943539779999	0	nonword	concrete	tangorle	133.526490699999	0.639721699999881	1
143.07708668	0	nonword	abstract	indispry	144.708105499999	0.698780100000249	0
149.159768879999	0	word	concrete	sportsman	150.876527999999	0.9111805	0
155.32696338	0	nonword	abstract	insarily	157.0575849	0.824171300000216	1
159.210095379999	0	nonword	concrete	straunchen	160.910225499999	1.18923199999994	0
163.059496979999	0	word	abstract	implication	164.9101861	0.641992200000231	1
169.36193928	0	word	abstract	alienation	171.158081599999	1.12999090000016	0
180.70989228	0	word	concrete	vault	182.1735236	0.765609700000141	1
184.32705578	0	nonword	abstract	imsessably	186.140902199999	1.31884200000013	1
193.394196079999	0	nonword	abstract	occiputive	195.293550999999	0.779406600000129	1
204.843073179999	0	word	concrete	passport	206.4270032	0.584369700000024	1
215.976188379999	0	nonword	abstract	incritilate	217.892821999999	0.84942580000029	1
227.44326928	0	word	abstract	oblivion	229.026558299999	0.633624900000086	1
231.176737479999	0	word	concrete	houseboat	232.793375	0.66186689999995	0
234.94300758	0	word	abstract	possibility	236.643494699999	0.522296600000117	1
238.79331948	0	nonword	abstract	divisiny	240.3235079	0.70961450000027	0
242.490650279999	0	word	concrete	morphine	244.0100647	0.705641199999945	1
248.46021618	0	nonword	abstract	intirgiment	250.408018199999	0.601763400000209	1
254.85995408	0	word	concrete	dandruff	256.4581873	1.21833330000026	1
263.71022358	0	nonword	concrete	vacoim	265.258101399999	1.60446369999999	1
267.40969818	0	word	abstract	theory	268.9579728	0.746903200000133	1
278.509926279999	0	nonword	concrete	compotarce	280.274767	1.46086690000015	1
284.72668928	0	nonword	concrete	porcopane	286.407133999999	0.764044800000192	1
290.85958608	0	nonword	abstract	viciridy	292.5264779	0.941507400000091	1
